wall_time,step_count,fz
1769174346.7594047,0,-0.02706412598490715
1769174347.1445034,4,-0.02760528214275837
1769174347.3104045,8,1.865062952041626
1769174347.4773102,12,-2.0773603916168213
1769174347.6442084,16,-0.43861594796180725
1769174347.810312,20,0.002645620610564947
1769174347.9770305,24,-0.0019958510529249907
1769174348.1441247,28,-0.02397589571774006
1769174348.3106859,32,-0.003368566744029522
1769174348.4770494,36,-0.012471337802708149
1769174348.6438448,40,-0.014959548600018024
1769174348.8109288,44,-0.018462980166077614
1769174348.9774604,48,-0.016147540882229805
1769174349.1443095,52,-0.012218836694955826
1769174349.310745,56,-0.011287545785307884
1769174349.4774766,60,-0.006199783645570278
1769174349.644641,64,-0.015102487057447433
1769174349.810642,68,-0.019917314872145653
1769174349.9775074,72,-0.01281663030385971
1769174350.1439414,76,-0.021919723600149155
1769174350.3108084,80,-0.018949806690216064
1769174350.4775872,84,-0.013691198080778122
1769174350.6438332,88,-0.01781049557030201
1769174350.8106341,92,-0.01917446032166481
1769174350.977518,96,-0.01227436400949955
1769174351.1442935,100,-0.008451733738183975
1769174351.3110483,104,-0.009359906427562237
1769174351.4773815,108,-0.020709127187728882
1769174351.6440127,112,-0.015696099027991295
1769174351.811164,116,-0.013790013268589973
1769174351.9777992,120,-0.007081403397023678
1769174352.144468,124,-0.017990758642554283
1769174352.3110616,128,-0.013513758778572083
1769174352.477899,132,-0.01356555800884962
1769174352.6445062,136,-0.01475247461348772
1769174352.8110738,140,-0.016283415257930756
1769174352.9774773,144,-0.012801628559827805
1769174353.144444,148,-0.020398864522576332
1769174353.311181,152,-0.010594559833407402
1769174353.477888,156,-0.013040782883763313
1769174353.6444814,160,-0.014129914343357086
1769174353.811104,164,-0.01527670118957758
1769174353.9778142,168,-0.011331208050251007
1769174354.1444027,172,-0.01749037206172943
1769174354.3113048,176,-0.016461651772260666
1769174354.478285,180,-0.012294835411012173
1769174354.6447804,184,-0.014329993166029453
1769174354.8113747,188,-0.01426383014768362
1769174354.9782746,192,-0.008805336430668831
1769174355.1445658,196,-0.006220177747309208
1769174355.3115396,200,-0.009940641932189465
1769174355.477972,204,-0.0034916691947728395
1769174355.6446064,208,-0.010078500024974346
1769174355.8111675,212,-0.011861343868076801
1769174355.977915,216,-0.0064304908737540245
